,protein_RNAP_biocrnpyler_420216,complex_dna_dna_vioA_protein_RNAP_biocrnpyler_420216,complex_protein_Ribo_transcript_vioA_biocrnpyler_420216,protein_Ribo_biocrnpyler_420216,enzyme_VioA_biocrnpyler_420216,protein_RNAase_biocrnpyler_420216,complex_protein_RNAase_transcript_vioA_biocrnpyler_420216,transcript_vioA_biocrnpyler_420216,dna_dna_vioA_biocrnpyler_420216,enzyme_VioB_biocrnpyler_420216,complex_protein_Ribo_transcript_vioB_biocrnpyler_420216,transcript_vioB_biocrnpyler_420216,complex_dna_dna_vioB_protein_RNAP_biocrnpyler_420216,dna_dna_vioB_biocrnpyler_420216,complex_protein_RNAase_transcript_vioB_biocrnpyler_420216,complex_protein_RNAase_transcript_vioE_biocrnpyler_420216,complex_protein_Ribo_transcript_vioE_biocrnpyler_420216,dna_dna_vioE_biocrnpyler_420216,enzyme_VioE_biocrnpyler_420216,complex_dna_dna_vioE_protein_RNAP_biocrnpyler_420216,transcript_vioE_biocrnpyler_420216,complex_protein_RNAase_transcript_vioD_biocrnpyler_420216,complex_protein_Ribo_transcript_vioD_biocrnpyler_420216,transcript_vioD_biocrnpyler_420216,complex_dna_dna_vioD_protein_RNAP_biocrnpyler_420216,enzyme_VioD_biocrnpyler_420216,dna_dna_vioD_biocrnpyler_420216,TRP_biocrnpyler_420216,IPA_imine_biocrnpyler_420216,complex_TRP_enzyme_VioA_biocrnpyler_420216,IPA_imine_dimer_biocrnpyler_420216,complex_2x_IPA_imine_enzyme_VioB_biocrnpyler_420216,PTDVA_biocrnpyler_420216,complex_IPA_imine_dimer_enzyme_VioE_biocrnpyler_420216,PTVA_2_combined,complex_PTDVA_enzyme_VioD_biocrnpyler_420216,protein_RNAP_biocrnpyler_893799,complex_protein_Ribo_transcript_vioC_biocrnpyler_893799,complex_dna_dna_vioC_protein_RNAP_biocrnpyler_893799,complex_protein_RNAase_transcript_vioC_biocrnpyler_893799,protein_Ribo_biocrnpyler_893799,transcript_vioC_biocrnpyler_893799,protein_RNAase_biocrnpyler_893799,enzyme_VioC_biocrnpyler_893799,dna_dna_vioC_biocrnpyler_893799,V_biocrnpyler_893799,complex_PTVA_enzyme_VioC_biocrnpyler_893799,PTDVA_biocrnpyler_893799,DV_biocrnpyler_893799,complex_PTDVA_enzyme_VioC_biocrnpyler_893799,PTVA_external_environment_model_1_combined_1_combined,time
0,3.0,0.0,0.0,24.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00812479583005266,0.7479688010424869,0.012020947851905288,23.951916208592372,8.202217976136693e-05,5.987934562915622,0.0030163592710923215,6.287515146038083e-05,9.252031198957512,0.00012126330529222388,0.012020947851905299,6.287515146038086e-05,0.7479688010424869,9.252031198957512,0.0030163592710923124,0.003016359271092312,0.012020947851905295,9.252031198957512,0.00012126358283092584,0.7479688010424869,6.287515146038086e-05,0.003016359271092313,0.012020947851905297,6.287515146038088e-05,0.7479688010424869,0.00012126359089944693,9.252031198957512,9.998897915949394,0.0010626694914138573,3.924141114122035e-05,8.624418738654635e-08,2.856103630221184e-10,3.6143870396301994e-11,8.071654234318106e-12,4.200081762447623e-17,3.139978613908017e-15,0.04221086443546857,0.04742920062981324,2.9577891355645254,0.01190115519962274,23.952570799370182,0.00024818050147786116,5.988098844800377,0.0004773805781297769,7.042210864435476,3.87688597781132e-20,1.3228888959220251e-20,0.0,0.0,0.0,1.0717742735433082e-14,0.40404040404040403
2,0.008124795830048336,0.747968801042488,0.02405560660233267,23.903777573590666,0.00032730253594819144,5.975841485712911,0.006039628571770052,0.00011359843115992034,9.252031198957512,0.00048566605380241494,0.024055606602332677,0.00011359843115992019,0.747968801042488,9.252031198957512,0.006039628571770051,0.006039628571770052,0.02405560660233267,9.252031198957512,0.0004856730694127116,0.747968801042488,0.0001135984311599201,0.006039628571770051,0.024055606602332674,0.0001135984311599201,0.747968801042488,0.00048567532411060795,9.252031198957512,9.991219811262502,0.008610568348560972,0.00015837279606039625,5.591952699310197e-06,9.278206172806465e-09,2.0240898558268966e-08,2.262595769140469e-09,1.328010521803767e-13,7.897976983099921e-12,0.04221086443539318,0.09501941872182595,2.957789135564601,0.023856464229960732,23.904980581278174,0.00044874546484318864,5.976143535770039,0.0019162638269404559,7.042210864435401,1.1603889115504658e-15,1.9763396424814786e-16,0.0,0.0,0.0,5.400840145126689e-11,0.8080808080808081
3,0.008124795830379653,0.747968801042405,0.036089127370909996,23.855643490516364,0.0007362483101035943,5.963749542832956,0.009062614291758721,0.0001645218024863403,9.252031198957592,0.0010931291731098892,0.03608912737090997,0.00016452180248637173,0.747968801042405,9.252031198957592,0.009062614291758714,0.009062614291758708,0.03608912737090995,9.252031198957592,0.001093140411628079,0.747968801042405,0.00016452180248640187,0.009062614291758706,0.03608912737090993,0.0001645218024864044,0.747968801042405,0.0010931990124646422,9.252031198957592,9.97042794291081,0.0290866752206256,0.00035695142665532505,6.328835992403576e-05,7.056364902655326e-08,7.889586330701559e-07,5.932513028166804e-08,1.4502756999504572e-11,7.242941845029011e-10,0.042210864440454805,0.1426051402419602,2.957789135559539,0.035810657682707366,23.85739485975804,0.0006500923541988599,5.964189342317293,0.004316519162078241,7.042210864440462,4.281638107075656e-13,5.136468294089281e-14,0.0,0.0,0.0,7.274344982197888e-09,1.2121212121212122
4,0.008124795797141001,0.7479688010507147,0.0481215583344177,23.807513766662318,0.0013099901284020089,5.95165893119915,0.012085267200209592,0.00021564644918093035,9.252031198949282,0.0019435172230753315,0.04812155833442016,0.00021564644917785835,0.7479688010507147,9.252031198949282,0.012085267200210201,0.012085267200210777,0.04812155833442249,9.252031198949282,0.0019432243903202398,0.7479688010507147,0.00021564644917493697,0.012085267200210826,0.0481215583344227,0.00021564644917466827,0.7479688010507147,0.0019437972763887556,9.252031198949282,9.930048210630153,0.06859785049241106,0.0006338244313207193,0.00034854477718287654,2.973366471588214e-07,1.0374662366173997e-05,5.901694022322629e-07,4.050882604048714e-10,1.7283333640410973e-08,0.042210863885020156,0.19018655758631178,2.957789136114974,0.04776353910090392,23.809813442413688,0.0008522257413466483,5.952236460899097,0.007678058712189637,7.042210863885028,2.9010755063928044e-11,2.6193601155018145e-12,0.0,0.0,0.0,2.3255740790694491e-07,1.6161616161616161
5,0.008124795830757158,0.7479688010423109,0.06015289881248032,23.759388404750077,0.0020506873286094854,5.93956965230662,0.01510758692334315,0.0002669735600179519,9.252031198957686,0.0030366040943674614,0.06015289881248026,0.0002669735600180472,0.7479688010423109,9.252031198957686,0.015107586923343136,0.015107586923343113,0.06015289881248016,9.252031198957686,0.0030340801963821174,0.7479688010423109,0.0002669735600181373,0.01510758692334311,0.06015289881248014,0.00026697356001814524,0.7479688010423109,0.0030373021128813652,9.252031198957686,9.863742393611545,0.13254138984441716,0.000986810452867223,0.0012825597522463591,8.93687113499062e-07,7.430040220479877e-05,3.4175850934243636e-06,5.2829691627269895e-09,1.9566859502801034e-07,0.04221086447828226,0.23776366815954555,2.957789135521711,0.059715107020262975,23.76223633184046,0.0010551502167347928,5.94028489297974,0.012000795466202125,7.042210864478292,7.546542291047074e-10,5.433606146173939e-11,0.0,0.0,0.0,3.329858297717712e-06,2.0202020202020203
6,0.008124795829996192,0.747968801042501,0.07218314805854055,23.71126740776583,0.0029619394075606187,5.927481707443822,0.01812957313904272,0.00031850433837584357,9.252031198957496,0.004372041659006804,0.07218314805854054,0.0003185043383758406,0.747968801042501,9.252031198957496,0.01812957313904272,0.018129573139042718,0.07218314805854052,9.252031198957496,0.004360253149930391,0.747968801042501,0.0003185043383758381,0.018129573139042718,0.07218314805854052,0.0003185043383758376,0.747968801042501,0.004372858337152961,9.252031198957496,9.7654092831678,0.2251179797925059,0.0014122879578840318,0.0036262268600083724,2.185706442129896e-06,0.0003579885267587241,1.3974215513086745e-05,4.2090919168403895e-08,1.3690282914256097e-06,0.04221086444070151,0.2853364691026477,2.957789135559292,0.0716653601838905,23.714663530897358,0.00125887042718503,5.9283346398161125,0.017284641918968034,7.042210864440712,1.059834474147862e-08,6.298768525012965e-10,0.0,0.0,0.0,2.842688467892108e-05,2.4242424242424243
7,0.008124795829948772,0.7479688010425127,0.08421230521613297,23.66315077913546,0.0040490728927377595,5.915395097482948,0.021151225629260906,0.0003702399935637053,9.252031198957484,0.005949372842270608,0.084212305216133,0.0003702399935636844,0.7479688010425127,9.252031198957484,0.021151225629260913,0.021151225629260906,0.08421230521613297,9.252031198957484,0.005909484666701301,0.7479688010425127,0.0003702399935636638,0.021151225629260906,0.084212305216133,0.0003702399935636625,0.7479688010425127,0.005947195898683528,9.252031198957484,9.629314412085302,0.3487810892521238,0.0019049083652584143,0.008479220810289335,4.608415729845355e-06,0.001296196638001948,4.4496591293686535e-05,2.3586105560341702e-07,6.7853593124476e-06,0.042210864423632526,0.3329049571192852,2.957789135576361,0.0836142977505433,23.66709504288072,0.001463391041710223,5.91638570224946,0.023529507862212258,7.042210864423643,9.637332209085272e-08,4.841429176608106e-09,0.0,0.0,0.0,0.0001681502581525208,2.8282828282828283
8,0.008124795830048569,0.7479688010424879,0.09624036940410718,23.615038522383568,0.005319512511142776,5.903309823239133,0.02417254419021459,0.0004221817453948662,9.252031198957509,0.00776804715457235,0.0962403694041072,0.0004221817453948662,0.7479688010424879,9.252031198957509,0.02417254419021459,0.02417254419021458,0.09624036940410716,9.252031198957509,0.007659780445348539,0.7479688010424879,0.00042218174539486594,0.024172544190214584,0.09624036940410716,0.0004221817453948661,0.7479688010424879,0.007750932431909325,9.252031198957509,9.450248106565706,0.5036963133791983,0.00245722487670901,0.01713000810150172,8.690233283679803e-06,0.0037628675328504595,0.00011695694250197517,1.0106107989038626e-06,2.580495594225428e-05,0.0422108644355963,0.3804691288159533,2.9577891355643966,0.09556191893623345,23.61953087118405,0.0016687167695161628,5.90443808106377,0.03073529156199965,7.042210864435606,6.321026566507405e-07,2.7258877624282324e-08,0.0,0.0,0.0,0.0007531798507096398,3.2323232323232323
9,0.008124795830048655,0.7479688010424879,0.10826733973333592,23.566930641066655,0.0067831029506186585,5.891225885533967,0.02719352861650614,0.0004743308233565345,9.252031198957509,0.00982747129795235,0.10826733973333592,0.00047433082335653456,0.7479688010424879,9.252031198957509,0.027193528616506146,0.027193528616506132,0.10826733973333585,9.252031198957509,0.009578961646763346,0.7479688010424879,0.0004743308233565343,0.027193528616506132,0.10826733973333584,0.00047433082335653434,0.7479688010424879,0.009763279031787824,9.252031198957509,9.223710969314517,0.6873029877711022,0.003059370715230445,0.030767499630188717,1.5002367900987913e-05,0.009128705266714079,0.0002635120190843736,3.4923237143084774e-06,7.919463406144393e-05,0.04221086443540783,0.42802898076866247,2.9577891355645853,0.10750822295086626,23.571971019231345,0.001874852356714765,5.892491777049136,0.03890185385975764,7.042210864435416,3.203640854593094e-06,1.1980787540376182e-07,0.0,0.0,0.0,0.0027026064091107537,3.6363636363636362
